K,group,resource_type,resource_id,task_id,start_s,end_s
3,1,A_UAV,K3-G1-A_UAV-01,Q3-T018,4100.0,5767.435322673639
3,1,A_UAV,K3-G1-A_UAV-02,Q3-T025,5669.838,7337.273322673639
3,1,A_UAV,K3-G1-A_UAV-01,Q3-T022,5800.0,6990.901145264488
3,1,B_UAV,K3-G1-B_UAV-01,Q3-T004,0.0,1869.7521946190166
3,1,B_UAV,K3-G1-B_UAV-02,Q3-T003,0.0,1922.7345559700407
3,1,B_UAV,K3-G1-B_UAV-01,Q3-T010,1880.0,3696.693933921911
3,1,B_UAV,K3-G1-B_UAV-02,Q3-T011,1922.735,3433.2052802929447
3,1,B_UAV,K3-G1-B_UAV-01,Q3-T019,3882.0,5440.442247394406
3,1,B_UAV,K3-G1-B_UAV-02,Q3-T017,4164.0,6244.543098275882
3,1,B_UAV,K3-G1-B_UAV-01,Q3-T021,5441.0,7269.28858402045
3,1,B_UAV,K3-G1-B_UAV-02,Q3-T024,6244.543098275882,7393.644620118984
3,1,C_UAV,K3-G1-C_UAV-01,Q3-T006,0.0,1560.1703918789087
3,1,C_UAV,K3-G1-C_UAV-01,Q3-T005,1837.0,3878.812018638708
3,1,C_UAV,K3-G1-C_UAV-02,Q3-T016,3184.0,5485.061066593225
3,1,C_UAV,K3-G1-C_UAV-01,Q3-T020,3879.0,6571.40490599983
3,1,C_UAV,K3-G1-C_UAV-02,Q3-T013,5486.0,7856.111144337079
3,1,A_BATTERY,K3-G1-A_BATTERY-01,Q3-T001,0.0,3193.9302231059523
3,1,A_BATTERY,K3-G1-A_BATTERY-02,Q3-T014,0.0,3225.0704914222742
3,1,A_BATTERY,K3-G1-A_BATTERY-03,Q3-T007,0.001,2708.385712921132
3,1,A_BATTERY,K3-G1-A_BATTERY-04,Q3-T008,0.001,2777.8594478353825
3,1,A_BATTERY,K3-G1-A_BATTERY-05,Q3-T015,1800.0,5013.048943970069
3,1,A_BATTERY,K3-G1-A_BATTERY-06,Q3-T002,2032.0,4153.350476532388
3,1,A_BATTERY,K3-G1-A_BATTERY-01,Q3-T018,4100.0,6793.151390900829
3,1,A_BATTERY,K3-G1-A_BATTERY-02,Q3-T025,5669.838,8358.97027746041
3,1,A_BATTERY,K3-G1-A_BATTERY-03,Q3-T022,5800.0,7831.228317200759
3,1,B_BATTERY,K3-G1-B_BATTERY-01,Q3-T004,0.0,3463.8834966823288
3,1,B_BATTERY,K3-G1-B_BATTERY-02,Q3-T003,0.0,3782.0881474609196
3,1,B_BATTERY,K3-G1-B_BATTERY-03,Q3-T010,1880.0,5539.164110282493
3,1,B_BATTERY,K3-G1-B_BATTERY-04,Q3-T011,1922.735,4890.583194391026
3,1,B_BATTERY,K3-G1-B_BATTERY-01,Q3-T019,3882.0,7015.466813458772
3,1,B_BATTERY,K3-G1-B_BATTERY-02,Q3-T017,4164.0,8115.83348412859
3,1,B_BATTERY,K3-G1-B_BATTERY-04,Q3-T021,5441.0,8935.83932399605
3,1,B_BATTERY,K3-G1-B_BATTERY-03,Q3-T024,6244.543098275882,8496.658679206239
3,1,C_BATTERY,K3-G1-C_BATTERY-01,Q3-T006,0.0,3183.6751246205577
3,1,C_BATTERY,K3-G1-C_BATTERY-02,Q3-T005,1837.0,6261.632960697143
3,1,C_BATTERY,K3-G1-C_BATTERY-01,Q3-T016,3184.0,7984.804006259225
3,1,C_BATTERY,K3-G1-C_BATTERY-03,Q3-T020,3879.0,9125.82413784197
3,1,C_BATTERY,K3-G1-C_BATTERY-04,Q3-T013,5486.0,10250.795043948656
3,1,RELAY_UAV,K3-G1-RELAY_UAV-01,Q3-R001,0.0,2089.9900000000002
3,1,RELAY_UAV,K3-G1-RELAY_UAV-02,Q3-R002,0.0,4136.99
3,1,RELAY_UAV,K3-G1-RELAY_UAV-01,Q3-R003,2090.0,5749.72243506803
3,1,RELAY_UAV,K3-G1-RELAY_UAV-02,Q3-R004,4137.0,8482.216499665172
3,1,RELAY_COMPONENT,K3-G1-RELAY_COMPONENT-01,Q3-R001,0.0,2471.5709302146006
3,1,RELAY_COMPONENT,K3-G1-RELAY_COMPONENT-02,Q3-R002,0.0,4780.339780374403
3,1,RELAY_COMPONENT,K3-G1-RELAY_COMPONENT-03,Q3-R003,2090.0,6337.849317205862
3,1,RELAY_COMPONENT,K3-G1-RELAY_COMPONENT-01,Q3-R004,4137.0,9143.247156838755
3,2,C_UAV,K3-G2-C_UAV-01,Q3-T023,8621.11114433708,10498.306302532623
3,2,C_BATTERY,K3-G2-C_BATTERY-01,Q3-T023,8621.11114433708,12475.145311816545
3,2,RELAY_UAV,K3-G2-RELAY_UAV-01,Q3-R005,8482.217499665172,10988.15742441989
3,2,RELAY_COMPONENT,K3-G2-RELAY_COMPONENT-01,Q3-R005,8482.217499665172,11420.87510397872
3,3,C_UAV,K3-G3-C_UAV-01,Q3-T009,1560.171,3121.730525940347
3,3,C_BATTERY,K3-G3-C_BATTERY-01,Q3-T009,1560.171,4658.682463732265
