service_id,aircraft_type,rated_payload_kg,safe_payload_kg,limiting_factor,reachable,outbound_distance_m,return_distance_m,cruise_altitude_out_m,cruise_altitude_back_m,energy_empty_rt_kwh,energy_rated_rt_kwh,energy_safe_payload_rt_kwh,energy_budget_kwh,return_soc_at_safe_payload,bisection_lower_kg,bisection_upper_kg,bisection_energy_lower_kwh,bisection_energy_upper_kwh,reserve_ratio,validation_status
S008,B,30.0,28.8006591796875,ENERGY_LIMITED,True,8079.114648723534,8079.114648723534,372.9093322753906,372.9093322753906,2.393707504469191,3.2871588998491417,3.19995325884421,3.2,0.20001168528894753,28.8006591796875,28.80157470703125,3.19995325884421,3.200016385339657,0.2,PASS
S008,C,80.0,58.90380859375,ENERGY_LIMITED,True,8079.114648723534,8079.114648723534,372.9093322753906,372.9093322753906,5.063588913599592,8.038002498988146,6.399985237854267,6.4,0.20000184526821663,58.90380859375,58.9044189453125,6.399985237854267,6.400015998301131,0.2,PASS
S009,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,5705.148819569368,5705.148819569368,293.2289123535156,293.2289123535156,2.1144378167565563,2.3868261890647586,2.3868261890647586,3.6,0.4695941802078314,,,,,0.2,PASS
S009,B,30.0,30.0,RATED_PAYLOAD_LIMITED,True,5705.148819569368,5705.148819569368,293.2289123535156,293.2289123535156,1.686299315752004,2.3163532712189623,2.3163532712189623,3.2,0.42091168219525943,,,,,0.2,PASS
S009,C,80.0,80.0,RATED_PAYLOAD_LIMITED,True,5705.148819569368,5705.148819569368,293.2289123535156,293.2289123535156,3.571358504837541,5.669462006564036,5.669462006564036,6.4,0.29131724917949553,,,,,0.2,PASS
S010,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,4784.4748762577,4784.4748762577,435.63653564453125,435.63653564453125,1.8262211369222867,2.0706489128669854,2.0706489128669854,3.6,0.5398557971406699,,,,,0.2,PASS
S010,B,30.0,30.0,RATED_PAYLOAD_LIMITED,True,4784.4748762577,4784.4748762577,435.63653564453125,435.63653564453125,1.4633879902953209,2.0109619862815116,2.0109619862815116,3.2,0.4972595034296221,,,,,0.2,PASS
S010,C,80.0,80.0,RATED_PAYLOAD_LIMITED,True,4784.4748762577,4784.4748762577,435.63653564453125,435.63653564453125,3.0479541127534726,4.858662415328933,4.858662415328933,6.4,0.3926671980838834,,,,,0.2,PASS
S011,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,2808.0980667554068,2808.0980667554068,295.36175537109375,295.36175537109375,1.0773699079144277,1.219592732890932,1.219592732890932,3.6,0.7289793926909041,,,,,0.2,PASS
S011,B,30.0,30.0,RATED_PAYLOAD_LIMITED,True,2808.0980667554068,2808.0980667554068,295.36175537109375,295.36175537109375,0.8640215798209916,1.1839193241975126,1.1839193241975126,3.2,0.7040201689506218,,,,,0.2,PASS
S011,C,80.0,80.0,RATED_PAYLOAD_LIMITED,True,2808.0980667554068,2808.0980667554068,295.36175537109375,295.36175537109375,1.7944200175066358,2.85320213926933,2.85320213926933,6.4,0.6433497325913338,,,,,0.2,PASS
S012,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,7390.4482261717885,7390.4482261717885,413.3009948730469,413.3009948730469,2.7715563679581274,3.1311403208940733,3.1311403208940733,3.6,0.304191039801317,,,,,0.2,PASS
S012,B,30.0,30.0,RATED_PAYLOAD_LIMITED,True,7390.4482261717885,7390.4482261717885,413.3009948730469,413.3009948730469,2.2146234278327745,3.0388737056610386,3.0388737056610386,3.2,0.24028157358474034,,,,,0.2,PASS
S012,C,80.0,68.1182861328125,ENERGY_LIMITED,True,7390.4482261717885,7390.4482261717885,413.3009948730469,413.3009948730469,4.658804581423871,7.398230100773365,6.399971173049218,6.4,0.2000036033688477,68.1182861328125,68.118896484375,6.399971173049218,6.400010681022566,0.2,PASS
S013,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,4849.227041161927,4849.227041161927,399.18182373046875,399.18182373046875,1.8301960942843802,2.074089621579244,2.074089621579244,3.6,0.5390911952046125,,,,,0.2,PASS
S013,B,30.0,30.0,RATED_PAYLOAD_LIMITED,True,4849.227041161927,4849.227041161927,399.18182373046875,399.18182373046875,1.4639339169790595,2.0143079296346444,2.0143079296346444,3.2,0.4964230175913389,,,,,0.2,PASS
S013,C,80.0,80.0,RATED_PAYLOAD_LIMITED,True,4849.227041161927,4849.227041161927,399.18182373046875,399.18182373046875,3.0684933994478154,4.891412161486293,4.891412161486293,6.4,0.3885734798142134,,,,,0.2,PASS
S014,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,5419.570194994185,5419.570194994185,591.9473876953125,591.9473876953125,2.1378091143668545,2.425600957984786,2.425600957984786,3.6,0.4609775648922698,,,,,0.2,PASS
S014,B,30.0,30.0,RATED_PAYLOAD_LIMITED,True,5419.570194994185,5419.570194994185,591.9473876953125,591.9473876953125,1.7218721967266473,2.355233853716427,2.355233853716427,3.2,0.41119153657089325,,,,,0.2,PASS
S014,C,80.0,80.0,RATED_PAYLOAD_LIMITED,True,5419.570194994185,5419.570194994185,591.9473876953125,591.9473876953125,3.5216171586736995,5.607619686836497,5.607619686836497,6.4,0.2990475391454379,,,,,0.2,PASS
S015,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,6009.4725710713465,6009.4725710713465,571.7992553710938,571.7992553710938,2.30679415312268,2.6192258775659223,2.6192258775659223,3.6,0.4179498049853506,,,,,0.2,PASS
S015,B,30.0,30.0,RATED_PAYLOAD_LIMITED,True,6009.4725710713465,6009.4725710713465,571.7992553710938,571.7992553710938,1.8501344744475943,2.5444130861278484,2.5444130861278484,3.2,0.3638967284680379,,,,,0.2,PASS
S015,C,80.0,80.0,RATED_PAYLOAD_LIMITED,True,6009.4725710713465,6009.4725710713465,571.7992553710938,571.7992553710938,3.8413161600250785,6.132980191983511,6.132980191983511,6.4,0.23337747600206116,,,,,0.2,PASS
