transport_sortie_id,start_s,end_s,source,margin_lower_bound_db
Q3-T008,1195.8497196864287,1260.0541442529018,RELAY,0.7162104911907647
Q3-T008,1260.0541442529018,1573.7270526541072,DIRECT,0.3056046157552572
Q3-T008,1573.7270526541072,1727.4363226736384,DIRECT,20.630567787299057
Q3-T009,2040.171,2135.5301357421877,DIRECT,25.073987177061753
Q3-T009,2135.5301357421877,2347.946843292439,DIRECT,1.7733656312176436
Q3-T009,2347.946843292439,2373.5957629701734,DIRECT,1.7733656312176436
Q3-T009,2373.5957629701734,2769.5957629701734,DIRECT,1.7817937337589171
Q3-T009,2769.5957629701734,2790.114898712361,DIRECT,1.7733656312176436
Q3-T009,2790.114898712361,3002.5316062626125,DIRECT,1.7733656312176436
Q3-T009,3002.5316062626125,3121.730525940347,DIRECT,25.073987177061753
Q3-T015,2160.0,2208.4522033691405,DIRECT,29.895716894501703
Q3-T015,2208.4522033691405,2462.951261922609,DIRECT,2.1546600046995934
Q3-T015,2462.951261922609,2498.5739059655775,DIRECT,2.1546600046995934
Q3-T015,2498.5739059655775,2678.5739059655775,DIRECT,2.161357484438952
Q3-T015,2678.5739059655775,2760.9337997644056,DIRECT,2.1247384806462577
Q3-T015,2760.9337997644056,2823.1284043063106,DIRECT,1.8926038664885851
Q3-T015,2823.1284043063106,3070.0894649948928,RELAY,6.512013160094824
Q3-T015,3070.0894649948928,3101.8813375534864,RELAY,12.478685734830847
Q3-T015,3101.8813375534864,3281.8813375534864,RELAY,12.478685734830847
Q3-T015,3281.8813375534864,3309.8935161016634,RELAY,12.478685734830847
Q3-T015,3309.8935161016634,3393.8858831974967,RELAY,6.515254436855159
Q3-T015,3393.8858831974967,3708.599755789805,DIRECT,0.29212297724942005
Q3-T015,3708.599755789805,3831.7743700476176,DIRECT,22.673113520866863
Q3-T005,2287.0,2359.5017016601564,DIRECT,27.708590776887306
Q3-T005,2359.5017016601564,2853.588882244159,RELAY,0.34229865025154993
Q3-T005,2853.588882244159,2898.316009319354,RELAY,8.950517356975595
Q3-T005,2898.316009319354,3258.316009319354,RELAY,9.036983652347416
Q3-T005,3258.316009319354,3294.0977109795103,RELAY,8.950517356975595
Q3-T005,3294.0977109795103,3393.8858831974967,RELAY,0.34229865025154993
Q3-T005,3393.8858831974967,3591.0353873805047,RELAY,3.9942631439437974
Q3-T005,3591.0353873805047,3788.184891563513,DIRECT,2.428494968264374
Q3-T005,3788.184891563513,3878.812018638708,DIRECT,27.708590776887306
Q3-T010,2270.0,2330.418084716797,DIRECT,27.708590776887306
Q3-T010,2330.418084716797,2824.5052653007992,RELAY,0.34229865025154993
Q3-T010,2824.5052653007992,2860.2869669609554,RELAY,8.950517356975595
Q3-T010,2860.2869669609554,3100.2869669609554,RELAY,9.036983652347416
Q3-T010,3100.2869669609554,3130.1050516777523,RELAY,8.950517356975595
Q3-T010,3130.1050516777523,3393.8858831974967,RELAY,0.34229865025154993
Q3-T010,3393.8858831974967,3624.1922322617547,DIRECT,1.081757533641678
Q3-T010,3624.1922322617547,3696.693933921911,DIRECT,27.708590776887306
Q3-T011,2312.7349999999997,2403.2289412434893,DIRECT,23.848873704846397
Q3-T011,2403.2289412434893,2726.510743987618,RELAY,2.416270019497034
Q3-T011,2726.510743987618,2745.5034734798055,RELAY,2.727164039616909
Q3-T011,2745.5034734798055,2985.5034734798055,RELAY,2.727164039616909
Q3-T011,2985.5034734798055,3001.3307480566286,RELAY,2.727164039616909
Q3-T011,3001.3307480566286,3324.612550800757,RELAY,2.416270019497034
Q3-T011,3324.612550800757,3433.2052802929447,DIRECT,23.848873704846397
Q3-T002,2392.0,2440.4522033691405,DIRECT,29.895716894501703
Q3-T002,2440.4522033691405,2694.951261922609,DIRECT,2.1546600046995934
Q3-T002,2694.951261922609,2730.5739059655775,DIRECT,2.1546600046995934
Q3-T002,2730.5739059655775,2940.5739059655775,DIRECT,2.161357484438952
Q3-T002,2940.5739059655775,2970.2594426680516,DIRECT,2.1546600046995934
Q3-T002,2970.2594426680516,3224.75850122152,DIRECT,2.1546600046995934
Q3-T002,3224.75850122152,3282.9011452644886,DIRECT,29.895716894501703
Q3-T016,3664.0,3772.215666503906,DIRECT,23.881491884525232
Q3-T016,3772.215666503906,3900.794487419612,DIRECT,6.081416329590269
Q3-T016,3900.794487419612,4286.53095016673,RELAY,2.377246842316495
Q3-T016,4286.53095016673,4371.500533296613,RELAY,5.136811832852899
Q3-T016,4371.500533296613,4767.500533296613,RELAY,5.136811832852899
Q3-T016,4767.500533296613,4833.476329550912,RELAY,5.136811832852899
Q3-T016,4833.476329550912,4835.476199800519,RELAY,0.8568440782268993
Q3-T016,4835.476199800519,5349.791483463343,RELAY,0.8573274023045343
Q3-T016,5349.791483463343,5485.061066593225,DIRECT,23.881491884525232
Q3-T020,4419.0,4486.064702148437,DIRECT,28.473404766567683
Q3-T020,4486.064702148437,4673.271239932131,DIRECT,2.8790795735705785
Q3-T020,4673.271239932131,4714.9021176176775,DIRECT,2.8790795735705785
Q3-T020,4714.9021176176775,5002.9021176176775,DIRECT,2.8887880767927925
Q3-T020,5002.9021176176775,5083.228719180178,DIRECT,2.852503443894676
Q3-T020,5083.228719180178,5438.380611750617,RELAY,3.072289755619522
Q3-T020,5438.380611750617,5509.388863703743,RELAY,3.046009950868978
Q3-T020,5509.388863703743,5869.388863703743,RELAY,3.1324570975263413
Q3-T020,5869.388863703743,5910.192596613899,RELAY,3.046009950868978
Q3-T020,5910.192596613899,6448.800239862135,RELAY,1.904953898505454
Q3-T020,6448.800239862135,6571.40490599983,DIRECT,24.807238177505724
Q3-T019,4272.0,4327.176304117838,DIRECT,28.59977109885726
Q3-T019,4327.176304117838,4517.347931436818,DIRECT,2.7431452544848582
Q3-T019,4517.347931436818,4707.519558755796,RELAY,3.672403956231136
Q3-T019,4707.519558755796,4732.811123697203,RELAY,8.749665209879751
Q3-T019,4732.811123697203,4833.476329550912,RELAY,8.836130617883327
Q3-T019,4833.476329550912,4972.811123697203,RELAY,0.602440380754615
Q3-T019,4972.811123697203,4993.8874278150415,RELAY,0.5159982048143377
Q3-T019,4993.8874278150415,5374.230682453,RELAY,0.5238082512792346
Q3-T019,5374.230682453,5440.442247394406,DIRECT,28.59977109885726
Q3-T018,4430.0,4558.09105834961,DIRECT,20.630567787299057
Q3-T018,4558.09105834961,4833.476329550912,DIRECT,1.4243183985899037
Q3-T018,4833.476329550912,4935.9683913172885,RELAY,1.2827406905150696
Q3-T018,4935.9683913172885,5001.35766133682,RELAY,1.667687802936456
Q3-T018,5001.35766133682,5181.35766133682,RELAY,1.667687802936456
Q3-T018,5181.35766133682,5235.848719686429,RELAY,1.667687802936456
Q3-T018,5235.848719686429,5613.726052654108,RELAY,1.9198217278885181
Q3-T018,5613.726052654108,5767.435322673639,DIRECT,20.630567787299057
Q3-T017,4554.0,4698.701379394532,DIRECT,19.516948608572065
Q3-T017,4698.701379394532,4900.0,DIRECT,2.1793798138068325
Q3-T017,4900.0,5182.923227197837,RELAY,6.014527836632993
Q3-T017,5182.923227197837,5272.244882471275,RELAY,5.955089759757172
Q3-T017,5272.244882471275,5512.244882471275,RELAY,6.041544732119448
Q3-T017,5512.244882471275,5586.679595199139,RELAY,5.955089759757172
Q3-T017,5586.679595199139,6070.9014430024445,RELAY,1.923509777539266
Q3-T017,6070.9014430024445,6244.543098275882,DIRECT,19.516948608572065
Q3-T021,5831.0,5979.033085123698,DIRECT,19.309794713723775
Q3-T021,5979.033085123698,6379.664589861787,RELAY,1.9241449636436414
Q3-T021,6379.664589861787,6418.584292010225,RELAY,5.244256662004645
Q3-T021,6418.584292010225,6658.584292010225,RELAY,5.244256662004645
Q3-T021,6658.584292010225,6691.017377133923,RELAY,5.244256662004645
Q3-T021,6691.017377133923,7091.648881872013,RELAY,1.9241449636436414
Q3-T021,7091.648881872013,7269.28858402045,DIRECT,19.309794713723775
Q3-T013,5936.0,6109.641655273437,DIRECT,19.516948608572065
Q3-T013,6109.641655273437,6593.863503076743,RELAY,1.923509777539266
Q3-T013,6593.863503076743,6705.51557216854,RELAY,5.955089759757172
Q3-T013,6705.51557216854,7065.51557216854,RELAY,6.041544732119448
Q3-T013,7065.51557216854,7154.837227441977,RELAY,5.955089759757172
Q3-T013,7154.837227441977,7639.059075245283,RELAY,1.923509777539266
Q3-T013,7639.059075245283,7856.111144337079,DIRECT,19.516948608572065
Q3-T024,6604.543098275882,6652.995301645023,DIRECT,29.895716894501703
Q3-T024,6652.995301645023,6856.5945484877975,DIRECT,2.1546600046995934
Q3-T024,6856.5945484877975,6892.217192530767,DIRECT,2.1546600046995934
Q3-T024,6892.217192530767,7102.217192530767,DIRECT,2.161357484438952
Q3-T024,7102.217192530767,7131.90272923324,DIRECT,2.1546600046995934
Q3-T024,7131.90272923324,7335.501976076015,DIRECT,2.1546600046995934
Q3-T024,7335.501976076015,7393.644620118984,DIRECT,29.895716894501703
Q3-T025,5999.838,6127.9290583496095,DIRECT,20.630567787299057
Q3-T025,6127.9290583496095,6505.806391317288,RELAY,1.9198217278885181
Q3-T025,6505.806391317288,6571.195661336819,RELAY,1.667687802936456
Q3-T025,6571.195661336819,6751.195661336819,RELAY,1.667687802936456
Q3-T025,6751.195661336819,6805.686719686429,RELAY,1.667687802936456
Q3-T025,6805.686719686429,7183.564052654107,RELAY,1.9198217278885181
Q3-T025,7183.564052654107,7337.273322673639,DIRECT,20.630567787299057
Q3-T022,6130.0,6178.452203369141,DIRECT,29.895716894501703
Q3-T022,6178.452203369141,6432.951261922609,DIRECT,2.1546600046995934
Q3-T022,6432.951261922609,6468.573905965578,DIRECT,2.1546600046995934
Q3-T022,6468.573905965578,6648.573905965578,DIRECT,2.161357484438952
Q3-T022,6648.573905965578,6678.259442668052,DIRECT,2.1546600046995934
Q3-T022,6678.259442668052,6932.7585012215195,DIRECT,2.1546600046995934
Q3-T022,6932.7585012215195,6990.901145264488,DIRECT,29.895716894501703
Q3-T023,9101.11114433708,9180.59549980583,DIRECT,26.81584619676579
Q3-T023,9180.59549980583,9532.638279098914,RELAY,1.8984883354364683
Q3-T023,9532.638279098914,9598.343723434851,RELAY,5.204454982840204
Q3-T023,9598.343723434851,9994.343723434851,RELAY,5.290907678716408
Q3-T023,9994.343723434851,10046.908078903602,RELAY,5.204454982840204
Q3-T023,10046.908078903602,10150.0,RELAY,5.252543161023354
Q3-T023,10150.0,10398.950858196686,DIRECT,0.4052993229428665
Q3-T023,10398.950858196686,10498.306302532623,DIRECT,26.81584619676579
