box_id,sortie_id,service_id,category,delivery_complete_s,expected_s,hard_deadline_s,tardiness_s
S007-HYG-01,Q3-T025,S007,生活卫生用品,6751.195661336819,10800.0,,0
S007-MED-01,Q3-T008,S007,医疗物资,1141.3586613368193,3600.0,3600.0,0
S007-WAT-01,Q3-T007,S007,饮用水,1081.3586613368193,3600.0,3600.0,0
S007-WAT-02,Q3-T008,S007,饮用水,1141.3586613368193,3600.0,,0
S008-FOD-01,Q3-T020,S008,应急食品,5869.388863703743,10800.0,,0
S008-HYG-01,Q3-T020,S008,生活卫生用品,5869.388863703743,14400.0,,0
S008-MED-01,Q3-T020,S008,医疗物资,5869.388863703743,7200.0,7200.0,0
S008-WAT-01,Q3-T020,S008,饮用水,5869.388863703743,7200.0,7200.0,0
S008-WAT-02,Q3-T020,S008,饮用水,5869.388863703743,7200.0,,0
S009-FOD-01,Q3-T019,S009,应急食品,4972.811123697203,14400.0,,0
S009-MED-01,Q3-T019,S009,医疗物资,4972.811123697203,10800.0,10800.0,0
S009-WAT-01,Q3-T019,S009,饮用水,4972.811123697203,10800.0,10800.0,0
S010-FOD-01,Q3-T015,S010,应急食品,3281.8813375534864,7200.0,,0
S010-MED-01,Q3-T001,S010,医疗物资,1481.881337553487,3600.0,3600.0,0
S010-WAT-01,Q3-T014,S010,饮用水,1481.881337553487,3600.0,3600.0,0
S011-FOD-01,Q3-T020,S011,应急食品,5002.9021176176775,14400.0,,0
S011-MED-01,Q3-T020,S011,医疗物资,5002.9021176176775,10800.0,10800.0,0
S011-WAT-01,Q3-T020,S011,饮用水,5002.9021176176775,10800.0,10800.0,0
S012-FOD-01,Q3-T003,S012,应急食品,1271.2972779850204,7200.0,,0
S012-MED-01,Q3-T003,S012,医疗物资,1271.2972779850204,7200.0,3600.0,0
S012-WAT-01,Q3-T003,S012,饮用水,1271.2972779850204,3600.0,3600.0,0
S013-FOD-01,Q3-T011,S013,应急食品,2985.5034734798055,7200.0,,0
S013-MED-01,Q3-T011,S013,医疗物资,2985.5034734798055,3600.0,3600.0,0
S013-WAT-01,Q3-T011,S013,饮用水,2985.5034734798055,3600.0,3600.0,0
S014-FOD-01,Q3-T004,S014,应急食品,1242.432763976175,7200.0,,0
S014-MED-01,Q3-T004,S014,医疗物资,1242.432763976175,7200.0,3600.0,0
S014-WAT-01,Q3-T004,S014,饮用水,1242.432763976175,3600.0,3600.0,0
S015-FOD-01,Q3-T021,S015,应急食品,6658.584292010225,14400.0,,0
S015-MED-01,Q3-T021,S015,医疗物资,6658.584292010225,7200.0,7200.0,0
S015-WAT-01,Q3-T021,S015,饮用水,6658.584292010225,10800.0,10800.0,0
