transport_sortie_id,phase_index,phase,start_s,end_s,mode,relay_sortie_id,minimum_certified_margin_db
Q3-T005,5,cruise,3393.8858831974967,3591.0353873805047,RELAY,Q3-R003,3.9942631439437974
Q3-T005,5,cruise,3591.0353873805047,3788.184891563513,DIRECT,,2.428494968264374
Q3-T005,6,descent,3788.184891563513,3878.812018638708,DIRECT,,27.708590776887306
Q3-T010,0,climb,2270.0,2330.418084716797,DIRECT,,27.708590776887306
Q3-T010,1,cruise,2330.418084716797,2824.5052653007992,RELAY,Q3-R002,0.34229865025154993
Q3-T010,2,descent,2824.5052653007992,2860.2869669609554,RELAY,Q3-R003,8.950517356975595
Q3-T010,3,service,2860.2869669609554,3100.2869669609554,RELAY,Q3-R003,9.036983652347416
Q3-T010,4,climb,3100.2869669609554,3130.1050516777523,RELAY,Q3-R003,8.950517356975595
Q3-T010,5,cruise,3130.1050516777523,3393.8858831974967,RELAY,Q3-R002,0.34229865025154993
Q3-T010,5,cruise,3393.8858831974967,3624.1922322617547,DIRECT,,1.081757533641678
Q3-T010,6,descent,3624.1922322617547,3696.693933921911,DIRECT,,27.708590776887306
Q3-T011,0,climb,2312.7349999999997,2403.2289412434893,DIRECT,,23.848873704846397
Q3-T011,1,cruise,2403.2289412434893,2726.510743987618,RELAY,Q3-R002,2.416270019497034
Q3-T011,2,descent,2726.510743987618,2745.5034734798055,RELAY,Q3-R002,2.727164039616909
Q3-T011,3,service,2745.5034734798055,2985.5034734798055,RELAY,Q3-R002,2.727164039616909
Q3-T011,4,climb,2985.5034734798055,3001.3307480566286,RELAY,Q3-R002,2.727164039616909
Q3-T011,5,cruise,3001.3307480566286,3324.612550800757,RELAY,Q3-R002,2.416270019497034
Q3-T011,6,descent,3324.612550800757,3433.2052802929447,DIRECT,,23.848873704846397
Q3-T002,0,climb,2392.0,2440.4522033691405,DIRECT,,29.895716894501703
Q3-T002,1,cruise,2440.4522033691405,2694.951261922609,DIRECT,,2.1546600046995934
Q3-T002,2,descent,2694.951261922609,2730.5739059655775,DIRECT,,2.1546600046995934
Q3-T002,3,service,2730.5739059655775,2940.5739059655775,DIRECT,,2.161357484438952
Q3-T002,4,climb,2940.5739059655775,2970.2594426680516,DIRECT,,2.1546600046995934
Q3-T002,5,cruise,2970.2594426680516,3224.75850122152,DIRECT,,2.1546600046995934
Q3-T002,6,descent,3224.75850122152,3282.9011452644886,DIRECT,,29.895716894501703
Q3-T016,0,climb,3664.0,3772.215666503906,DIRECT,,23.881491884525232
Q3-T016,1,cruise,3772.215666503906,3900.794487419612,DIRECT,,6.081416329590269
Q3-T016,1,cruise,3900.794487419612,4286.53095016673,RELAY,Q3-R003,2.377246842316495
Q3-T016,2,descent,4286.53095016673,4371.500533296613,RELAY,Q3-R003,5.136811832852899
Q3-T016,3,service,4371.500533296613,4767.500533296613,RELAY,Q3-R003,5.136811832852899
Q3-T016,4,climb,4767.500533296613,4833.476329550912,RELAY,Q3-R003,5.136811832852899
Q3-T016,4,climb,4833.476329550912,4835.476199800519,RELAY,Q3-R004,0.8568440782268993
Q3-T016,5,cruise,4835.476199800519,5349.791483463343,RELAY,Q3-R004,0.8573274023045343
Q3-T016,6,descent,5349.791483463343,5485.061066593225,DIRECT,,23.881491884525232
Q3-T020,0,climb,4419.0,4486.064702148437,DIRECT,,28.473404766567683
Q3-T020,1,cruise,4486.064702148437,4673.271239932131,DIRECT,,2.8790795735705785
Q3-T020,2,descent,4673.271239932131,4714.9021176176775,DIRECT,,2.8790795735705785
Q3-T020,3,service,4714.9021176176775,5002.9021176176775,DIRECT,,2.8887880767927925
Q3-T020,4,climb,5002.9021176176775,5083.228719180178,DIRECT,,2.852503443894676
Q3-T020,5,cruise,5083.228719180178,5438.380611750617,RELAY,Q3-R004,3.072289755619522
Q3-T020,6,descent,5438.380611750617,5509.388863703743,RELAY,Q3-R004,3.046009950868978
Q3-T020,7,service,5509.388863703743,5869.388863703743,RELAY,Q3-R004,3.1324570975263413
Q3-T020,8,climb,5869.388863703743,5910.192596613899,RELAY,Q3-R004,3.046009950868978
Q3-T020,9,cruise,5910.192596613899,6448.800239862135,RELAY,Q3-R004,1.904953898505454
Q3-T020,10,descent,6448.800239862135,6571.40490599983,DIRECT,,24.807238177505724
Q3-T019,0,climb,4272.0,4327.176304117838,DIRECT,,28.59977109885726
Q3-T019,1,cruise,4327.176304117838,4517.347931436818,DIRECT,,2.7431452544848582
Q3-T019,1,cruise,4517.347931436818,4707.519558755796,RELAY,Q3-R003,3.672403956231136
Q3-T019,2,descent,4707.519558755796,4732.811123697203,RELAY,Q3-R003,8.749665209879751
Q3-T019,3,service,4732.811123697203,4833.476329550912,RELAY,Q3-R003,8.836130617883327
Q3-T019,3,service,4833.476329550912,4972.811123697203,RELAY,Q3-R004,0.602440380754615
Q3-T019,4,climb,4972.811123697203,4993.8874278150415,RELAY,Q3-R004,0.5159982048143377
Q3-T019,5,cruise,4993.8874278150415,5374.230682453,RELAY,Q3-R004,0.5238082512792346
Q3-T019,6,descent,5374.230682453,5440.442247394406,DIRECT,,28.59977109885726
Q3-T018,0,climb,4430.0,4558.09105834961,DIRECT,,20.630567787299057
Q3-T018,1,cruise,4558.09105834961,4833.476329550912,DIRECT,,1.4243183985899037
Q3-T018,1,cruise,4833.476329550912,4935.9683913172885,RELAY,Q3-R004,1.2827406905150696
Q3-T018,2,descent,4935.9683913172885,5001.35766133682,RELAY,Q3-R004,1.667687802936456
Q3-T018,3,service,5001.35766133682,5181.35766133682,RELAY,Q3-R004,1.667687802936456
Q3-T018,4,climb,5181.35766133682,5235.848719686429,RELAY,Q3-R004,1.667687802936456
Q3-T018,5,cruise,5235.848719686429,5613.726052654108,RELAY,Q3-R004,1.9198217278885181
Q3-T018,6,descent,5613.726052654108,5767.435322673639,DIRECT,,20.630567787299057
Q3-T017,0,climb,4554.0,4698.701379394532,DIRECT,,19.516948608572065
Q3-T017,1,cruise,4698.701379394532,4900.0,DIRECT,,2.1793798138068325
Q3-T017,1,cruise,4900.0,5182.923227197837,RELAY,Q3-R004,6.014527836632993
Q3-T017,2,descent,5182.923227197837,5272.244882471275,RELAY,Q3-R004,5.955089759757172
Q3-T017,3,service,5272.244882471275,5512.244882471275,RELAY,Q3-R004,6.041544732119448
Q3-T017,4,climb,5512.244882471275,5586.679595199139,RELAY,Q3-R004,5.955089759757172
Q3-T017,5,cruise,5586.679595199139,6070.9014430024445,RELAY,Q3-R004,1.923509777539266
Q3-T017,6,descent,6070.9014430024445,6244.543098275882,DIRECT,,19.516948608572065
Q3-T021,0,climb,5831.0,5979.033085123698,DIRECT,,19.309794713723775
Q3-T021,1,cruise,5979.033085123698,6379.664589861787,RELAY,Q3-R004,1.9241449636436414
Q3-T021,2,descent,6379.664589861787,6418.584292010225,RELAY,Q3-R004,5.244256662004645
Q3-T021,3,service,6418.584292010225,6658.584292010225,RELAY,Q3-R004,5.244256662004645
Q3-T021,4,climb,6658.584292010225,6691.017377133923,RELAY,Q3-R004,5.244256662004645
Q3-T021,5,cruise,6691.017377133923,7091.648881872013,RELAY,Q3-R004,1.9241449636436414
Q3-T021,6,descent,7091.648881872013,7269.28858402045,DIRECT,,19.309794713723775
Q3-T013,0,climb,5936.0,6109.641655273437,DIRECT,,19.516948608572065
Q3-T013,1,cruise,6109.641655273437,6593.863503076743,RELAY,Q3-R004,1.923509777539266
Q3-T013,2,descent,6593.863503076743,6705.51557216854,RELAY,Q3-R004,5.955089759757172
Q3-T013,3,service,6705.51557216854,7065.51557216854,RELAY,Q3-R004,6.041544732119448
Q3-T013,4,climb,7065.51557216854,7154.837227441977,RELAY,Q3-R004,5.955089759757172
Q3-T013,5,cruise,7154.837227441977,7639.059075245283,RELAY,Q3-R004,1.923509777539266
Q3-T013,6,descent,7639.059075245283,7856.111144337079,DIRECT,,19.516948608572065
Q3-T024,0,climb,6604.543098275882,6652.995301645023,DIRECT,,29.895716894501703
Q3-T024,1,cruise,6652.995301645023,6856.5945484877975,DIRECT,,2.1546600046995934
Q3-T024,2,descent,6856.5945484877975,6892.217192530767,DIRECT,,2.1546600046995934
Q3-T024,3,service,6892.217192530767,7102.217192530767,DIRECT,,2.161357484438952
Q3-T024,4,climb,7102.217192530767,7131.90272923324,DIRECT,,2.1546600046995934
Q3-T024,5,cruise,7131.90272923324,7335.501976076015,DIRECT,,2.1546600046995934
Q3-T024,6,descent,7335.501976076015,7393.644620118984,DIRECT,,29.895716894501703
Q3-T025,0,climb,5999.838,6127.9290583496095,DIRECT,,20.630567787299057
Q3-T025,1,cruise,6127.9290583496095,6505.806391317288,RELAY,Q3-R004,1.9198217278885181
Q3-T025,2,descent,6505.806391317288,6571.195661336819,RELAY,Q3-R004,1.667687802936456
Q3-T025,3,service,6571.195661336819,6751.195661336819,RELAY,Q3-R004,1.667687802936456
Q3-T025,4,climb,6751.195661336819,6805.686719686429,RELAY,Q3-R004,1.667687802936456
Q3-T025,5,cruise,6805.686719686429,7183.564052654107,RELAY,Q3-R004,1.9198217278885181
Q3-T025,6,descent,7183.564052654107,7337.273322673639,DIRECT,,20.630567787299057
Q3-T022,0,climb,6130.0,6178.452203369141,DIRECT,,29.895716894501703
Q3-T022,1,cruise,6178.452203369141,6432.951261922609,DIRECT,,2.1546600046995934
Q3-T022,2,descent,6432.951261922609,6468.573905965578,DIRECT,,2.1546600046995934
Q3-T022,3,service,6468.573905965578,6648.573905965578,DIRECT,,2.161357484438952
Q3-T022,4,climb,6648.573905965578,6678.259442668052,DIRECT,,2.1546600046995934
Q3-T022,5,cruise,6678.259442668052,6932.7585012215195,DIRECT,,2.1546600046995934
Q3-T022,6,descent,6932.7585012215195,6990.901145264488,DIRECT,,29.895716894501703
Q3-T023,0,climb,9101.11114433708,9180.59549980583,DIRECT,,26.81584619676579
Q3-T023,1,cruise,9180.59549980583,9532.638279098914,RELAY,Q3-R005,1.8984883354364683
Q3-T023,2,descent,9532.638279098914,9598.343723434851,RELAY,Q3-R005,5.204454982840204
Q3-T023,3,service,9598.343723434851,9994.343723434851,RELAY,Q3-R005,5.290907678716408
Q3-T023,4,climb,9994.343723434851,10046.908078903602,RELAY,Q3-R005,5.204454982840204
Q3-T023,5,cruise,10046.908078903602,10150.0,RELAY,Q3-R005,5.252543161023354
Q3-T023,5,cruise,10150.0,10398.950858196686,DIRECT,,0.4052993229428665
Q3-T023,6,descent,10398.950858196686,10498.306302532623,DIRECT,,26.81584619676579
