box_id,sortie_id,service_id,category,first_batch,delivery_complete_s,hard_deadline_s,expected_s,ordinary_lateness_s,aircraft_type,uav_id,start_time_s,delivery_complete_time_s,expected_time_s,tardiness_s,deadline_status
S004-WAT-02,Q2-016,S004,饮用水,False,4767.176533296613,,7200.0,0,C,U08,3183.676,4767.176533296613,7200.0,0,ON_TIME
S004-WAT-03,Q2-016,S004,饮用水,False,4767.176533296613,,7200.0,0,C,U08,3183.676,4767.176533296613,7200.0,0,ON_TIME
S005-FOD-01,Q2-023,S005,应急食品,False,6857.970579097771,,14400.0,0,C,U08,5484.738,6857.970579097771,14400.0,0,ON_TIME
S005-HYG-01,Q2-023,S005,生活卫生用品,False,6857.970579097771,,18000.0,0,C,U08,5484.738,6857.970579097771,18000.0,0,ON_TIME
S005-MED-01,Q2-023,S005,医疗物资,True,6857.970579097771,10800.0,10800.0,0,C,U08,5484.738,6857.970579097771,10800.0,0,ON_TIME
S005-WAT-01,Q2-023,S005,饮用水,True,6857.970579097771,10800.0,10800.0,0,C,U08,5484.738,6857.970579097771,10800.0,0,ON_TIME
S005-WAT-02,Q2-023,S005,饮用水,False,6857.970579097771,,10800.0,0,C,U08,5484.738,6857.970579097771,10800.0,0,ON_TIME
S005-WAT-03,Q2-023,S005,饮用水,False,6857.970579097771,,10800.0,0,C,U08,5484.738,6857.970579097771,10800.0,0,ON_TIME
S006-FOD-01,Q2-009,S006,应急食品,False,2769.5957629701734,,7200.0,0,C,U08,1560.171,2769.5957629701734,7200.0,0,ON_TIME
S006-HYG-01,Q2-009,S006,生活卫生用品,False,2769.5957629701734,,10800.0,0,C,U08,1560.171,2769.5957629701734,10800.0,0,ON_TIME
S006-MED-01,Q2-009,S006,医疗物资,True,2769.5957629701734,3600.0,3600.0,0,C,U08,1560.171,2769.5957629701734,3600.0,0,ON_TIME
S006-WAT-01,Q2-009,S006,饮用水,True,2769.5957629701734,3600.0,3600.0,0,C,U08,1560.171,2769.5957629701734,3600.0,0,ON_TIME
S006-WAT-02,Q2-009,S006,饮用水,False,2769.5957629701734,,3600.0,0,C,U08,1560.171,2769.5957629701734,3600.0,0,ON_TIME
S006-WAT-03,Q2-009,S006,饮用水,False,2769.5957629701734,,3600.0,0,C,U08,1560.171,2769.5957629701734,3600.0,0,ON_TIME
S007-FOD-01,Q2-018,S007,应急食品,False,4780.568661336819,,7200.0,0,A,U02,3699.211,4780.568661336819,7200.0,0,ON_TIME
S007-HYG-01,Q2-025,S007,生活卫生用品,False,6751.195661336818,,10800.0,0,A,U01,5669.838,6751.195661336818,10800.0,0,ON_TIME
S007-MED-01,Q2-012,S007,医疗物资,True,3113.132661336819,3600.0,3600.0,0,A,U02,2031.775,3113.132661336819,3600.0,0,ON_TIME
S007-WAT-01,Q2-007,S007,饮用水,True,1081.358661336819,3600.0,3600.0,0,A,U01,0.001,1081.358661336819,3600.0,0,ON_TIME
S007-WAT-02,Q2-008,S007,饮用水,False,1081.358661336819,,3600.0,0,A,U04,0.001,1081.358661336819,3600.0,0,ON_TIME
S008-FOD-01,Q2-020,S008,应急食品,False,6415.021863703742,,10800.0,0,C,U07,4424.633,6415.021863703742,10800.0,0,ON_TIME
S008-HYG-01,Q2-020,S008,生活卫生用品,False,6415.021863703742,,14400.0,0,C,U07,4424.633,6415.021863703742,14400.0,0,ON_TIME
S008-MED-01,Q2-020,S008,医疗物资,True,6415.021863703742,7200.0,7200.0,0,C,U07,4424.633,6415.021863703742,7200.0,0,ON_TIME
S008-WAT-01,Q2-020,S008,饮用水,True,6415.021863703742,7200.0,7200.0,0,C,U07,4424.633,6415.021863703742,7200.0,0,ON_TIME
S008-WAT-02,Q2-020,S008,饮用水,False,6415.021863703742,,7200.0,0,C,U07,4424.633,6415.021863703742,7200.0,0,ON_TIME
S009-FOD-01,Q2-019,S009,应急食品,False,4872.900123697203,,14400.0,0,B,U06,3782.089,4872.900123697203,14400.0,0,ON_TIME
S009-MED-01,Q2-019,S009,医疗物资,True,4872.900123697203,10800.0,10800.0,0,B,U06,3782.089,4872.900123697203,10800.0,0,ON_TIME
S009-WAT-01,Q2-019,S009,饮用水,True,4872.900123697203,10800.0,10800.0,0,B,U06,3782.089,4872.900123697203,10800.0,0,ON_TIME
S010-FOD-01,Q2-015,S010,应急食品,False,4190.267337553487,,7200.0,0,A,U01,2708.386,4190.267337553487,7200.0,0,ON_TIME
S010-MED-01,Q2-001,S010,医疗物资,True,1481.881337553487,3600.0,3600.0,0,A,U02,0.0,1481.881337553487,3600.0,0,ON_TIME
S010-WAT-01,Q2-014,S010,饮用水,True,3525.084337553487,3600.0,3600.0,0,A,U03,2043.203,3525.084337553487,3600.0,0,ON_TIME
S011-FOD-01,Q2-020,S011,应急食品,False,5548.535117617678,,14400.0,0,C,U07,4424.633,5548.535117617678,14400.0,0,ON_TIME
S011-MED-01,Q2-020,S011,医疗物资,True,5548.535117617678,10800.0,10800.0,0,C,U07,4424.633,5548.535117617678,10800.0,0,ON_TIME
S011-WAT-01,Q2-020,S011,饮用水,True,5548.535117617678,10800.0,10800.0,0,C,U07,4424.633,5548.535117617678,10800.0,0,ON_TIME
S012-FOD-01,Q2-003,S012,应急食品,False,1271.2972779850202,,7200.0,0,B,U05,0.0,1271.2972779850202,7200.0,0,ON_TIME
S012-MED-01,Q2-003,S012,医疗物资,True,1271.2972779850202,3600.0,7200.0,0,B,U05,0.0,1271.2972779850202,7200.0,0,ON_TIME
S012-WAT-01,Q2-003,S012,饮用水,True,1271.2972779850202,3600.0,3600.0,0,B,U05,0.0,1271.2972779850202,3600.0,0,ON_TIME
S013-FOD-01,Q2-011,S013,应急食品,False,2985.5034734798055,,7200.0,0,B,U05,1922.735,2985.5034734798055,7200.0,0,ON_TIME
S013-MED-01,Q2-011,S013,医疗物资,True,2985.5034734798055,3600.0,3600.0,0,B,U05,1922.735,2985.5034734798055,3600.0,0,ON_TIME
S013-WAT-01,Q2-011,S013,饮用水,True,2985.5034734798055,3600.0,3600.0,0,B,U05,1922.735,2985.5034734798055,3600.0,0,ON_TIME
S014-FOD-01,Q2-004,S014,应急食品,False,1242.432763976175,,7200.0,0,B,U06,0.0,1242.432763976175,7200.0,0,ON_TIME
S014-MED-01,Q2-004,S014,医疗物资,True,1242.432763976175,3600.0,7200.0,0,B,U06,0.0,1242.432763976175,7200.0,0,ON_TIME
S014-WAT-01,Q2-004,S014,饮用水,True,1242.432763976175,3600.0,3600.0,0,B,U06,0.0,1242.432763976175,3600.0,0,ON_TIME
S015-FOD-01,Q2-021,S015,应急食品,False,6558.116292010225,,14400.0,0,B,U06,5340.532,6558.116292010225,14400.0,0,ON_TIME
S015-MED-01,Q2-021,S015,医疗物资,True,6558.116292010225,7200.0,7200.0,0,B,U06,5340.532,6558.116292010225,7200.0,0,ON_TIME
S015-WAT-01,Q2-021,S015,饮用水,True,6558.116292010225,10800.0,10800.0,0,B,U06,5340.532,6558.116292010225,10800.0,0,ON_TIME
